회사:kb증권, 이름:kb CMA 상품1, 운용방식:RP형, 수익률:2.5%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:신한증권, 이름:신한 CMA 상품2, 운용방식:발행어음형, 수익률:2.3%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:삼성증권, 이름:삼성 CMA 상품3, 운용방식:종금형, 수익률:2.7%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:미래에셋증권, 이름:미래에셋 CMA 상품4, 운용방식:RP형, 수익률:2.4%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:NH투자증권, 이름:NH CMA 상품5, 운용방식:발행어음형, 수익률:2.6%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:키움증권, 이름:키움 CMA 상품6, 운용방식:종금형, 수익률:2.2%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:한국투자증권, 이름:한국투자 CMA 상품7, 운용방식:RP형, 수익률:2.8%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:대신증권, 이름:대신 CMA 상품8, 운용방식:발행어음형, 수익률:2.1%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:유안타증권, 이름:유안타 CMA 상품9, 운용방식:종금형, 수익률:2.9%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:하나증권, 이름:하나 CMA 상품10, 운용방식:RP형, 수익률:2.0%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:KB증권, 이름:KB CMA 상품11, 운용방식:발행어음형, 수익률:2.5%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:신한증권, 이름:신한 CMA 상품12, 운용방식:종금형, 수익률:2.3%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:삼성증권, 이름:삼성 CMA 상품13, 운용방식:RP형, 수익률:2.7%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:CMA 주거래계좌 이용 시 온라인 이체 수수료 무료 혜택, CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
회사:미래에셋증권, 이름:미래에셋 CMA 상품14, 운용방식:발행어음형, 수익률:2.4%, 이체 수수료 혜택:무료, CD/ATM기 수수료 혜택:무료, 이체 수수료 혜택 조건:당사 IC 체크카드 또는 신용카드 결제사용 고객은 전월 20만원 이상 사용시 온라인 이체수수료가 무료 적용됩니다., CD/ATM기 수수료 혜택:CMA 주거래계좌 이용 시 전금융기관 CD, ATM기 이체출금 수수료 무료 혜택
