회사명: 삼성증권 | KOSPI200, S&P500 연동, 3년 만기, 매 6개월 조기상환 가능, KOSPI200 60% 하락 시 손실
회사명: 미래에셋증권 | 삼성전자, SK하이닉스 연동, 2년 만기, 매 3개월 조기상환 가능, 개별 종목 70% 하락 시 손실
회사명: 한국투자증권 | 중국본토 A주 지수, 홍콩 H주 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 두 지수 중 하나 50% 하락 시 손실
회사명: NH투자증권 | 나스닥 100, 테슬라 연동, 3년 만기, 매 분기 조기상환 가능, 테슬라 주가 50% 하락 시 손실
회사명: KB증권 | 유로스톡스50, 일본닛케이225 연동, 2년 만기, 매 6개월 조기상환 가능, 두 지수 중 하나 65% 하락 시 손실
회사명: 신한금융투자 | KOSPI200, Nasdaq 100 연동, 3년 만기, 매 분기 조기상환 가능, 두 지수 중 하나 70% 하락 시 손실
회사명: 하나금융투자 | 삼성전자, 테슬라, Apple 연동, 2년 만기, 매 3개월 조기상환 가능, 세 종목 모두 65% 이상 유지 시 최대 수익
회사명: 메리츠증권 | 중국 본토 A주, 홍콩 H주, TSMC 연동, 4년 만기, 매 12개월 조기상환 가능, 세 종목 중 하나 50% 하락 시 손실
회사명: 키움증권 | S&P500, 유로스톡스50, 니케이225 연동, 3년 만기, 매 6개월 조기상환 가능, 세 지수 모두 80% 이상 유지 시 최대 수익
회사명: 대신증권 | 금, 은, 원유 연동, 2년 만기, 매 분기 조기상환 가능, 세 자산 중 하나 30% 하락 시 손실
회사명: NH투자증권 | 테슬라, 엔비디아, AMD 연동, 2년 만기, 매 분기 조기상환 가능, 세 종목 모두 100% 이상 상승 시 최대 수익, 60% 이하로 하락 시 원금 손실 (테크주 집중형)
회사명: KB증권 | 유로스톡스50, 니케이225, 항셍지수 연동, 3년 만기, 매 6개월 조기상환 가능, 세 지수 모두 95% 이상 유지 시 최대 수익, 75% 이하로 하락 시 원금 손실 (글로벌 지수형)
회사명: 신한금융투자 | 금, 은, 백금 연동, 4년 만기, 매 12개월 조기상환 가능, 세 자산 모두 50% 이상 상승 시 최대 수익, 25% 이하로 하락 시 원금 손실 (귀금속 투자형)
회사명: 하나금융투자 | S&P 500, Nasdaq 100, Russell 2000 연동, 3년 만기, 매 분기 조기상환 가능, 세 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (미국 주식 시장 집중형)
회사명: 메리츠증권 | 삼성바이오로직스, 셀트리온, SK바이오사이엔스 연동, 2년 만기, 매 3개월 조기상환 가능, 세 종목 모두 75% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (바이오 산업 집중형)
회사명: 키움증권 | 중국 전기차 배터리 3사 (CATL, BYD, LG화학) 연동, 3년 만기, 매 6개월 조기상환 가능, 세 종목 모두 100% 이상 상승 시 최대 수익, 65% 이하로 하락 시 원금 손실 (테마 투자형)
회사명: 대신증권 | 코스피200, 코스닥150 연동, 2년 만기, 매 분기 조기상환 가능, 두 지수 모두 85% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (국내 주식 시장 집중형)
회사명: 미래에셋증권 | 원유, 천연가스, 농산물 (콩, 옥수수) 연동, 3년 만기, 매 12개월 조기상환 가능, 네 자산 모두 50% 이상 상승 시 최대 수익, 25% 이하로 하락 시 원금 손실 (원자재 투자형)
회사명: 한국투자증권 | 유럽 반도체 지수, 미국 반도체 지수 연동, 2년 만기, 매 분기 조기상환 가능, 두 지수 모두 90% 이상 유지 시 최대 수익, 70% 이하로 하락 시 원금 손실 (반도체 산업 집중형)
회사명: NH투자증권 | 인도 SENSEX, 브라질 보베스파 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 두 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (신흥 시장 집중형)
회사명: 미래에셋증권 | S&P 500 ESG 지수, MSCI 세계 지속가능 투자 지수 연동, 3년 만기, 매 분기 조기상환 가능, 두 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (ESG 투자형)
회사명: 한국투자증권 | 테슬라, 리비안, 루시드 연동, 2년 만기, 매 3개월 조기상환 가능, 세 종목 모두 120% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (전기차 스타트업 집중형)
회사명: NH투자증권 | 유럽 항공우주 방산 지수, 미국 방산 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 두 지수 모두 90% 이상 유지 시 최대 수익, 75% 이하로 하락 시 원금 손실 (방산 산업 집중형)
