운용회사: ABC Asset Management, 펀드명: ABC Global Equity Fund, 위험등급: 4, 순자산총액: 1200000000, 주식비중(%): 75, 채권비중(%): 20, 1개월 수익률: 2.3, 6개월 수익률: 8.5, 1년 수익률: 12.4, 2년 수익률: 24.7, 운용보수(%): 1.2
운용회사: XYZ Capital, 펀드명: XYZ Balanced Fund, 위험등급: 3, 순자산총액: 900000000, 주식비중(%): 50, 채권비중(%): 45, 1개월 수익률: 1.5, 6개월 수익률: 5.4, 1년 수익률: 8.7, 2년 수익률: 15.2, 운용보수(%): 0.8
운용회사: DEF Investments, 펀드명: DEF Growth Fund, 위험등급: 5, 순자산총액: 1500000000, 주식비중(%): 85, 채권비중(%): 10, 1개월 수익률: 3.1, 6개월 수익률: 10.2, 1년 수익률: 18.3, 2년 수익률: 30.5, 운용보수(%): 1.5
운용회사: QRS Fund Management, 펀드명: QRS Income Fund, 위험등급: 2, 순자산총액: 600000000, 주식비중(%): 30, 채권비중(%): 65, 1개월 수익률: 0.8, 6개월 수익률: 2.9, 1년 수익률: 4.5, 2년 수익률: 7.8, 운용보수(%): 0.6
운용회사: LMN Financial, 펀드명: LMN Strategic Fund, 위험등급: 4, 순자산총액: 1100000000, 주식비중(%): 70, 채권비중(%): 25, 1개월 수익률: 2.5, 6개월 수익률: 7.7, 1년 수익률: 11.9, 2년 수익률: 21.4, 운용보수(%): 1.1
운용회사: GHI Asset Management, 펀드명: GHI Conservative Fund, 위험등급: 3, 순자산총액: 850000000, 주식비중(%): 40, 채권비중(%): 55, 1개월 수익률: 1.2, 6개월 수익률: 4.8, 1년 수익률: 7.3, 2년 수익률: 12.1, 운용보수(%): 0.7
운용회사: TUV Wealth, 펀드명: TUV Aggressive Fund, 위험등급: 5, 순자산총액: 2000000000, 주식비중(%): 90, 채권비중(%): 5, 1개월 수익률: 4.0, 6개월 수익률: 12.5, 1년 수익률: 20.8, 2년 수익률: 34.6, 운용보수(%): 1.6
운용회사: OPQ Capital, 펀드명: OPQ Balanced Fund, 위험등급: 3, 순자산총액: 950000000, 주식비중(%): 55, 채권비중(%): 40, 1개월 수익률: 1.7, 6개월 수익률: 6.2, 1년 수익률: 9.6, 2년 수익률: 16.5, 운용보수(%): 0.9
운용회사: JKL Fund, 펀드명: JKL Dynamic Fund, 위험등급: 4, 순자산총액: 1300000000, 주식비중(%): 65, 채권비중(%): 30, 1개월 수익률: 2.7, 6개월 수익률: 8.9, 1년 수익률: 13.1, 2년 수익률: 22.3, 운용보수(%): 1.3
운용회사: EFG Investments, 펀드명: EFG High Yield Fund, 위험등급: 5, 순자산총액: 1800000000, 주식비중(%): 80, 채권비중(%): 15, 1개월 수익률: 3.5, 6개월 수익률: 11.4, 1년 수익률: 17.9, 2년 수익률: 28.7, 운용보수(%): 1.4
운용회사: RST Asset Management, 펀드명: RST Global Bond Fund, 위험등급: 3, 순자산총액: 700000000, 주식비중(%): 20, 채권비중(%): 75, 1개월 수익률: 0.9, 6개월 수익률: 3.3, 1년 수익률: 5.2, 2년 수익률: 9.0, 운용보수(%): 0.5
운용회사: UVW Capital, 펀드명: UVW Balanced Growth Fund, 위험등급: 4, 순자산총액: 1250000000, 주식비중(%): 65, 채권비중(%): 30, 1개월 수익률: 2.6, 6개월 수익률: 8.6, 1년 수익률: 12.8, 2년 수익률: 23.1, 운용보수(%): 1.2
운용회사: MNO Investments, 펀드명: MNO Equity Income Fund, 위험등급: 4, 순자산총액: 1150000000, 주식비중(%): 70, 채권비중(%): 25, 1개월 수익률: 2.4, 6개월 수익률: 7.9, 1년 수익률: 11.5, 2년 수익률: 19.9, 운용보수(%): 1.1
운용회사: ABC Asset Management, 펀드명: ABC Income Fund, 위험등급: 3, 순자산총액: 950000000, 주식비중(%): 35, 채권비중(%): 60, 1개월 수익률: 1.3, 6개월 수익률: 4.2, 1년 수익률: 6.9, 2년 수익률: 11.4, 운용보수(%): 0.7
운용회사: XYZ Capital, 펀드명: XYZ Growth Fund, 위험등급: 5, 순자산총액: 1400000000, 주식비중(%): 85, 채권비중(%): 10, 1개월 수익률: 3.9, 6개월 수익률: 11.8, 1년 수익률: 19.1, 2년 수익률: 32.8, 운용보수(%): 1.6
운용회사: DEF Investments, 펀드명: DEF Conservative Fund, 위험등급: 2, 순자산총액: 550000000, 주식비중(%): 25, 채권비중(%): 70, 1개월 수익률: 0.7, 6개월 수익률: 2.6, 1년 수익률: 4.3, 2년 수익률: 7.3, 운용보수(%): 0.5
운용회사: QRS Fund Management, 펀드명: QRS Balanced Income Fund, 위험등급: 3, 순자산총액: 850000000, 주식비중(%): 45, 채권비중(%): 50, 1개월 수익률: 1.4, 6개월 수익률: 4.9, 1년 수익률: 7.6, 2년 수익률: 12.8, 운용보수(%): 0.8
운용회사: LMN Financial, 펀드명: LMN High Growth Fund, 위험등급: 5, 순자산총액: 1700000000, 주식비중(%): 90, 채권비중(%): 5, 1개월 수익률: 4.3, 6개월 수익률: 12.9, 1년 수익률: 21.4, 2년 수익률: 35.7, 운용보수(%): 1.7
운용회사: GHI Asset Management, 펀드명: GHI Global Balanced Fund, 위험등급: 4, 순자산총액: 1100000000, 주식비중(%): 60, 채권비중(%): 35, 1개월 수익률: 2.0, 6개월 수익률: 7.1, 1년 수익률: 10.9, 2년 수익률: 19.2, 운용보수(%): 1.0
운용회사: TUV Wealth, 펀드명: TUV Dividend Fund, 위험등급: 3, 순자산총액: 950000000, 주식비중(%): 50, 채권비중(%): 45, 1개월 수익률: 1.6, 6개월 수익률: 6.1, 1년 수익률: 9.5, 2년 수익률: 16.2, 운용보수(%): 0.9
운용회사: OPQ Capital, 펀드명: OPQ Growth & Income Fund, 위험등급: 4, 순자산총액: 1250000000, 주식비중(%): 65, 채권비중(%): 30, 1개월 수익률: 2.5, 6개월 수익률: 8.3, 1년 수익률: 12.7, 2년 수익률: 22.9, 운용보수(%): 1.2
운용회사: JKL Fund, 펀드명: JKL Balanced Strategy Fund, 위험등급: 4, 순자산총액: 1150000000, 주식비중(%): 70, 채권비중(%): 25, 1개월 수익률: 2.4, 6개월 수익률: 7.8, 1년 수익률: 11.6, 2년 수익률: 20.3, 운용보수(%): 1.1
