kor_co_nm: 우리은행 | fin_prdt_nm: 우리SUPER주거래적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20%  ※ 만기시점 약정이율 : 일반정기적금 금리 | spcl_cnd: 1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 1.9%p 우대 가. 우리은행을 처음 거래하시는 고객 : 연 1.0%p 나. 거래실적 인정기간 동안 아래 거래실적을 계약기간별 필수기간(1년 : 6개월, 2년 : 12개월, 3년 : 18개월)이상 충족하는 경우 최대 연 0.9%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 우리은행 | fin_prdt_nm: WON적금 | join_way: 스마트폰,전화(텔레뱅킹) | mtrt_int: 만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20%  ※ 만기시점 약정이율 : 일반정기적금 금리 | spcl_cnd: 1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 0.2%p 우대 가. 이 적금을 우리꿈통장, WON통장에 연결하여 가입하는 경우 : 0.1%p 나. 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우 : 연 0.1%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 한국스탠다드차타드은행 | fin_prdt_nm: 퍼스트가계적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기 후 1개월: 약정이율의 50% 만기 후 1개월 초과 1년 이내: 약정이율의 30% 만기 후 1년 초과: 약정이율의 10% | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인(개인사업자 포함) | max_limit: 10000000
kor_co_nm: 아이엠뱅크 | fin_prdt_nm: 내손안에 적금 | join_way: 스마트폰 | mtrt_int: 만기 후 1개월 미만 경과: 약정이자율 x 50% 만기 후 3개월 미만 경과: 약정이자율 x 25% 만기 후 3개월 이상 경과: 약정이자율 x 10% | spcl_cnd: *최고우대금리 : 연0.55%p -당행 인터넷/모바일뱅킹을 통하여 최초로 적립식예금 가입 시 : 연0.20%p -상품 가입 전 최근 3개월 이내 당행 인터넷/모바일뱅킹을 통한 이체거래 3회 이상 : 연0.10%p -상품 가입 전 수수료우대 통장 보유 고객 : 연0.20%p * 해당 상품을 모바일뱅킹을 통해 가입 : 연0.05%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 1000000
kor_co_nm: 아이엠뱅크 | fin_prdt_nm: 영플러스적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기 후 1개월 미만 경과: 약정이자율 x 50% 만기 후 3개월 미만 경과: 약정이자율 x 25% 만기 후 3개월 이상 경과: 약정이자율 x 10% | spcl_cnd: *최고우대금리 : 연0.55%p -상품 가입 전 영플러스통장 보유 또는 재예치일 기준 영플러스통장 전월 평잔 10만원 이상 : 연0.10%p -예금기간 중 입금횟수 10회 이상 : 연0.10%p -입학 및 졸업 축하금리 : 연0.30%p * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p | join_deny: 3 | join_member: 만 29세 이하 실명의 개인 | max_limit: 500000
kor_co_nm: 아이엠뱅크 | fin_prdt_nm: 내가만든 보너스적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기 후 1개월 미만 경과: 약정이자율 x 50% 만기 후 3개월 미만 경과: 약정이자율 x 25% 만기 후 3개월 이상 경과: 약정이자율 x 10% | spcl_cnd: *최고우대금리 : 연0.80%p -인터넷/모바일뱅킹으로 신규 : 연0.20%p -상품 가입 전 마케팅활용[개인(신용)정보수집이용동의] 전체 동의 : 연0.20%p (계약기간 1년인 경우 만기일 기준) -당행 계좌로 자동이체 8회 이상 입금 : 연0.20%p -원금합계 100만원 이상 : 연0.10%p 또는 원금합계 200만원 이상 : 연0.20%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 200000
kor_co_nm: 아이엠뱅크 | fin_prdt_nm: iM스마트적금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기 후 1개월 미만 경과: 약정이자율 x 50% 만기 후 3개월 미만 경과: 약정이자율 x 25% 만기 후 3개월 이상 경과: 약정이자율 x 10% | spcl_cnd: *최고우대금리 : 연0.45%p -가입일로부터 3개월 이내 1가지 이상 요건 충족시 : 연0.20%p ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) - 전체 계약월수 중 1/2이상 당행 계좌에서 자동이체 납입 시 : 연0.20%p *해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 1000000
kor_co_nm: 부산은행 | fin_prdt_nm: 펫 적금 | join_way: 영업점,스마트폰 | mtrt_int: - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50% - 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% | spcl_cnd: *우대이율 6개월제 최대 0.55%, 12개월제 최대 0.90% | join_deny: 1 | join_member: 실명의 개인고객(1인 1계좌) | max_limit: 500000
kor_co_nm: 부산은행 | fin_prdt_nm: 저탄소 실천 적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50% - 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% | spcl_cnd: 조건 달성여부에 따라 우대금리 적용 *개인형 우대이율: 최대0.4% *기업형(개인사업자 및 법인)우대이율: 최대0.4% | join_deny: 1 | join_member: 제한없음 | max_limit: 10000000
kor_co_nm: 부산은행 | fin_prdt_nm: BNK내맘대로  적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50% - 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% | spcl_cnd: *우대이율 최대 0.2% - 신규시 우대이율 0.05% 및 해지시 우대이율 최대 0.15% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 부산은행 | fin_prdt_nm: BNK아기천사적금 | join_way: 스마트폰 | mtrt_int: - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50% - 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% | spcl_cnd: *우대이율 최대 6.00% | join_deny: 1 | join_member: 실명의 개인고객(1인 1계좌) | max_limit: 300000
kor_co_nm: 광주은행 | fin_prdt_nm: 해피라이프_여행스케치적금V | join_way: 영업점,스마트폰 | mtrt_int: *만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2  *만기후 1개월 초과: 0.1% | spcl_cnd: ▶ 최고우대금리 1.20%p   ①해피라이프_여행스케치외화적금V 동일자가입 0.5%p  ②해지원금 기준 500만원이상 : 최고0.2%p ③신용(체크)카드사용실적300만원이상:최고 0.3%p ④개인(신용)정보 동의: 0.2%p | join_deny: 1 | join_member: 제한없음(단,국가및지방자치단체제외) | max_limit: 5000000
kor_co_nm: 광주은행 | fin_prdt_nm: 여행스케치_남도투어적금 | join_way: 영업점,스마트폰 | mtrt_int: 만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2  만기후 1개월 초과: 0.1% | spcl_cnd: ▶ 최고우대금리 1.9%p  ①예금가입일~만기일전일까지 당행이선정한 전라남도 관광지 방문 인증시 : 최고 1.5%p ②신용(체크)카드사용실적300만원이상:최고 0.3%p ③개인(신용)정보 동의: 0.1%p | join_deny: 1 | join_member: 만14세이상 개인 및 개인사업자 | max_limit: 1000000
kor_co_nm: 광주은행 | fin_prdt_nm: VIP플러스적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2  *만기후 1개월 초과: 0.1% | spcl_cnd: ▶ 최고우대금리 0.50%p   ①이 예금가입시 VIP고객이거나 가입일 이후부터 만기일전일까지 VIP고객에 선정된 경험이 있는 경우 : 0.3%p  ②이 예금 가입일에 정기예금 500만원이상(만기 1년이상) 가입하고 만기일 전일까지 유지한 경우 : 0.2%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 5000000
kor_co_nm: 제주은행 | fin_prdt_nm: jbank 저금통적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50% (단, 최저금리 0.1%) - 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25% (단, 최저금리 0.1%) - 만기후 3개월 초과 : 0.1% | spcl_cnd: *거래조건에 따라 최고 2.1%p 우대금리 적용 ① 자투리 출금계좌 평잔 50만원 이상 유지 : 0.8%p ② 첫거래고객 or JBANK저금통적금 1개월 내 재신규 : 0.5%p ③ 신규가입 시점에서 적금 목표금액 최소 30만원 이상 설정하고, 적금 신규일로부터 3개월 내 잔액이 목표금액 이상인 경우 :0.5%p ④ 추천인 우대금리 : 0.30%p | join_deny: 1 | join_member: 개인 및 개인사업자 | max_limit: 500000
kor_co_nm: 제주은행 | fin_prdt_nm: MZ 플랜적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50% (단, 최저금리 0.1%) - 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25% (단, 최저금리 0.1%) - 만기후 3개월 초과 : 0.1% | spcl_cnd: ①매월 1회이상 지속적 납입시:1년제: 0.50% ② 목표 금액 달성:0.50% ③ 신용카드,체크카드 합산 사용액 월10만원 이상 사용: 0.50% * 청년이니까응원합니다 이벤트 : 0.50% | join_deny: 1 | join_member: 개인 및 개인사업자 | max_limit: 300000
kor_co_nm: 제주은행 | fin_prdt_nm: 탐이나요적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50% (단, 최저금리 0.1%) - 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25% (단, 최저금리 0.1%) - 만기후 3개월 초과 : 0.1% | spcl_cnd: 우대요건 충족시 최고 2.7%p 추가 우대(만기시 제공)매월 JBANK로그인 시 0.2%,한 가지라도 수행시 2.5% 제공①추천인 코드로 3명 이상 가입시 ②탐나는전 체크카드 월30만원 이상 사용 유지 ③탐나는전 선불카드 충전계좌를 당행 입출금계좌로 등록 후 평잔 50만원 이상 유지 시 | join_deny: 1 | join_member: 개인 및 개인사업자 | max_limit: 1000000
kor_co_nm: 전북은행 | fin_prdt_nm: JB 다이렉트적금(자유적립식) | join_way: 인터넷,스마트폰 | mtrt_int: √만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(자유적립식) 실행이율의 1/2 √만기후 1개월초과 경과분 : 연 0.1% | spcl_cnd: 추가우대금리 : 당행 계좌간 자동이체를 통해 이 예금으로 자동이체 된 금액에 0.1% 금리 우대 | join_deny: 1 | join_member: 실명의 개인 및 개인사업자(임의단체 제외) | max_limit: 10000000
